,CGA,students
692,3.475,50676420
693,2.524,50678171
694,3.403,50679026
695,3.272,50680671
696,3.547,50680879
697,2.997,50680949
698,2.488,50681910
699,3.18,50682875
700,3.19,50685288
701,2.681,50686550
702,2.33,50688397
703,3.327,50690068
704,2.905,50690278
705,2.819,50690604
706,2.759,50691095
707,3.089,50692724
708,3.488,50694362
709,3.131,50696883
710,3.202,50697163
711,3.91,50700673
712,1.516,50701113
713,2.746,50701485
714,2.753,50702605
715,3.179,50704043
716,2.477,50704121
717,2.407,50704502
718,3.278,50705058
719,3.603,50705488
720,3.673,50706223
721,3.924,50706233
722,2.955,50707492
723,2.784,50707821
724,2.744,50708039
725,2.375,50709210
726,2.573,50709296
727,1.93,50709593
728,2.156,50711207
729,2.849,50711269
730,2.933,50711724
731,3.624,50711854
732,2.354,50712858
733,2.547,50713780
734,2.279,50715018
735,3.106,50717083
736,3.0,50720724
737,3.002,50723877
738,2.56,50725655
739,3.179,50726753
740,3.265,50726912
741,3.57,50727616
742,2.247,50728144
743,2.752,50730196
744,2.066,50730465
745,2.492,50730533
746,2.792,50731398
747,3.591,50732105
748,3.159,50732761
749,3.474,50732785
750,1.761,50734822
751,3.556,50737586
752,3.836,50738379
753,3.54,50738769
754,2.532,50740104
755,1.91,50740407
756,2.436,50740888
757,3.419,50742650
758,3.428,50743284
759,3.556,50743299
760,2.019,50745157
761,2.656,50745530
762,2.728,50746370
763,3.941,50746850
764,2.864,50747209
765,2.954,50749042
766,3.122,50750322
767,3.117,50751246
768,2.855,50753910
769,3.525,50754462
770,3.105,50755016
771,2.664,50755526
772,2.956,50755787
773,2.779,50755869
774,3.323,50756747
775,3.0,50757892
776,2.882,50758315
777,1.192,50758700
778,2.926,50758815
779,1.482,50761027
780,2.577,50761111
781,2.575,50761822
782,2.883,50762110
783,2.494,50762660
784,2.909,50762838
785,3.131,50766670
786,3.294,50767571
787,3.637,50767584
788,3.016,50768488
789,1.917,50770473
790,2.981,50770707
791,3.018,50771795
792,2.153,50771903
793,3.779,50772512
794,3.186,50774062
795,2.943,50774209
796,2.07,50774950
797,3.43,50774959
798,2.451,50776448
799,3.199,50778635
800,2.71,50778666
801,2.599,50780271
802,3.561,50781904
803,3.106,50783401
804,2.242,50783801
805,3.264,50786889
806,3.42,50789250
807,2.515,50789932
808,2.142,50791088
809,3.052,50792095
810,2.849,50792799
811,2.193,50794123
812,2.922,50795219
813,2.553,50796736
814,3.263,50799932
815,3.446,50800876
816,2.217,50801181
817,2.729,50801448
818,2.517,50803231
819,3.892,50803908
820,3.283,50805082
821,1.989,50805118
822,2.121,50805269
823,2.457,50806055
824,2.913,50807551
825,3.837,50808935
826,3.96,50810017
827,2.946,50811322
828,3.273,50812611
829,3.633,50813980
830,2.068,50814282
831,2.719,50816918
832,2.204,50817094
833,3.116,50817559
834,3.199,50818747
835,3.44,50818777
836,2.445,50819513
837,3.515,50823637
838,2.713,50825559
839,3.555,50826280
840,2.761,50826598
841,2.987,50827574
842,3.255,50827701
843,2.362,50828583
844,1.941,50828739
845,3.539,50829207
846,3.224,50829903
847,2.98,50832563
848,3.157,50832888
849,2.189,50833209
850,2.116,50835421
851,2.925,50837116
852,2.883,50838725
853,2.612,50839131
854,3.367,50839230
855,2.956,50839311
856,2.662,50841729
857,3.721,50842497
858,3.211,50842860
859,3.687,50843741
860,2.389,50845741
861,2.105,50846154
862,2.465,50846898
863,2.365,50849060
864,3.106,50849580
865,2.716,50851141
866,2.191,50851589
867,3.094,50851652
868,3.827,50853432
869,2.174,50854749
870,3.306,50856665
871,3.385,50857088
872,2.285,50857392
873,2.181,50857717
874,2.942,50861667
875,3.106,50862519
876,2.442,50864010
877,2.714,50864450
878,2.617,50865261
879,3.267,50866532
880,3.344,50866725
881,2.611,50869514
882,2.04,50871405
883,3.194,50872972
884,2.192,50874254
885,3.286,50874458
886,1.95,50874671
887,3.635,50874876
888,2.835,50874958
889,3.144,50874975
890,2.805,50877371
891,2.42,50877632
892,2.624,50879095
893,3.105,50880184
894,2.631,50880485
895,3.563,50882980
896,2.584,50883178
897,3.157,50884119
898,2.795,50886445
899,2.317,50887361
900,3.619,50888654
901,2.563,50889308
902,2.433,50889604
903,2.832,50889669
904,3.177,50890337
905,3.599,50890645
906,2.415,50892518
907,2.518,50894660
908,3.781,50895026
909,2.808,50896978
910,3.367,50897395
911,2.866,50897467
912,2.07,50898243
913,2.988,50899021
914,2.151,50899490
915,0.918,50899661
916,3.715,50900695
917,3.288,50902263
918,2.944,50902447
919,3.297,50902802
920,2.917,50904487
921,3.145,50905210
922,1.661,50905885
923,2.854,50906094
924,3.161,50906350
925,3.034,50907050
926,2.711,50907568
927,2.548,50908915
928,3.007,50910760
929,4.012,50910998
930,3.145,50912119
931,2.777,50912181
932,3.383,50912587
933,1.52,50913946
934,3.119,50915479
935,2.385,50915798
936,2.37,50917877
937,2.833,50917911
938,3.838,50918163
939,2.869,50920002
940,2.179,50926136
941,3.665,50928316
942,3.02,50930596
943,2.642,50930676
944,2.468,50932592
945,1.881,50933669
946,2.935,50935119
947,2.56,50936035
948,2.551,50937498
949,3.07,50937761
950,3.311,50937813
951,3.636,50938770
952,3.907,50939114
953,2.801,50941026
954,2.866,50942356
955,3.295,50942370
956,2.985,50943507
957,2.924,50943834
958,2.634,50944435
959,1.53,50944906
960,3.006,50945203
961,1.619,50945911
962,3.152,50948271
963,3.013,50948283
964,3.787,50948585
965,2.685,50949535
966,3.242,50953076
967,2.434,50953391
968,3.189,50953773
969,3.347,50954407
970,2.469,50955084
971,2.893,50957663
972,2.693,50960358
973,2.831,50960789
974,2.966,50964509
975,3.087,50971395
976,3.264,50973795
977,2.583,50973896
978,3.06,50974402
979,3.354,50974830
980,2.084,50975057
981,2.85,50975202
982,2.994,50975583
983,2.617,50975735
984,3.489,50976879
985,3.281,50980082
986,3.146,50980950
987,2.163,50981270
988,3.122,50982216
989,2.124,50982410
990,2.998,50983236
991,2.923,50983608
992,2.734,50983873
993,2.151,50984295
994,3.593,50988798
995,2.547,50989029
996,2.878,50991992
997,2.923,50992339
998,2.379,50994180
999,2.13,50994388
1000,2.376,50995484
1001,1.562,50995548
1002,2.974,50996008
1003,3.667,50997190
